ENTIDAD,CONCEPTO,NACION,PROPIOS,TOTAL,Tipo de gasto,Código de entidad,Código de sector,Sector,TOTAL %
Agencia de desarrollo rural - adr,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.0
Agencia de desarrollo rural - adr,Adquisición de bienes y servicios,17258.4,0.0,17258.4,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.003264753238927706
Agencia de desarrollo rural - adr,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.0
Agencia de desarrollo rural - adr,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.0
Agencia de desarrollo rural - adr,Gastos de personal,22967.8,0.0,22967.8,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.004344794386562124
Agencia de desarrollo rural - adr,Inversion,254865.9,1127.7,255993.6,Inversion,1718,17,Agricultura y desarrollo rural,0.048426038030452624
Agencia de desarrollo rural - adr,Servicio de la deuda,0.0,0.0,0.0,Servicio de la deuda,1718,17,Agricultura y desarrollo rural,0.0
Agencia de desarrollo rural - adr,Transferencias,3758.5,0.0,3758.5,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.0007109914620422393
Agencia de desarrollo rural - adr,"Tributos, multas, sanciones, interés",2250.0,0.0,2250.0,Funcionamiento,1718,17,Agricultura y desarrollo rural,0.0004256301156299157
Agencia de renovación del territorio - art,Adquisicion de activos financieros,0.0,0.0,0.0,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.0
Agencia de renovación del territorio - art,Adquisición de bienes y servicios,13794.0,0.0,13794.0,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.0026093963622218037
Agencia de renovación del territorio - art,Disminución de pasivos,0.0,0.0,0.0,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.0
Agencia de renovación del territorio - art,Gastos comerc. y produccion,0.0,0.0,0.0,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.0
Agencia de renovación del territorio - art,Gastos de personal,64266.2,0.0,64266.2,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.01215716894982013
Agencia de renovación del territorio - art,Inversion,44675.3,0.0,44675.3,Inversion,1719,17,Agricultura y desarrollo rural,0.008451179157689413
Agencia de renovación del territorio - art,Servicio de la deuda,784.7,0.0,784.7,Servicio de la deuda,1719,17,Agricultura y desarrollo rural,0.00014844086743768663
Agencia de renovación del territorio - art,Transferencias,1344.5,0.0,1344.5,Funcionamiento,1719,17,Agricultura y desarrollo rural,0.00025433764020640963
Agencia de renovación del territorio - art,"Tributos, multas, sanciones, interés",328.0,0.0,328.0,Funcionamiento,1719,17,Agricultura y desarrollo rural,6.204741241182772e-05
Agencia logística de las fuerzas militares,Adquisicion de activos financieros,0.0,16000.0,16000.0,Funcionamiento,1520,15,Defensa y policía,0.003026703044479401
Agencia logística de las fuerzas militares,Adquisición de bienes y servicios,0.0,18700.0,18700.0,Funcionamiento,1520,15,Defensa y policía,0.0035374591832353
Agencia logística de las fuerzas militares,Disminución de pasivos,0.0,800.0,800.0,Funcionamiento,1520,15,Defensa y policía,0.00015133515222397006
Agencia logística de las fuerzas militares,Gastos comerc. y produccion,0.0,959000.0,959000.0,Funcionamiento,1520,15,Defensa y policía,0.1814130137284841
Agencia logística de las fuerzas militares,Gastos de personal,0.0,73718.0,73718.0,Funcionamiento,1520,15,Defensa y policía,0.01394515593955828
Agencia logística de las fuerzas militares,Inversion,0.0,6500.0,6500.0,Inversion,1520,15,Defensa y policía,0.0012295981118197567
Agencia logística de las fuerzas militares,Servicio de la deuda,0.0,1803.6,1803.6,Servicio de la deuda,1520,15,Defensa y policía,0.00034118510068894046
