UEJ,NOMBRE UEJ,RUBRO,TIPO,CTA,"SUB
CTA",OBJ,ORD,"SOR
ORD",ITEM,"SUB
ITEM","SUB
ITEM 2",FUENTE,REC,SIT,DESCRIPCION,APR. INICIAL,APR. ADICIONADA,APR. REDUCIDA,APR. VIGENTE,APR BLOQUEADA,CDP,APR. DISPONIBLE,COMPROMISO,OBLIGACION,ORDEN PAGO,PAGOS,Código de entidad,Código de sector,Sector,Entidad,mes,mes_num
01-01-01,SENADO DE LA REPUBLICA,A-01-01-01,A,1.0,1.0,1.0,,,,,,Nación,10.0,CSF,SALARIO,205332000000,0,0,205332000000,0,12218030984.0,193113969016.0,12218030984.0,12218030984.0,12218030984.0,12218030984.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-01-01-02,A,1.0,1.0,2.0,,,,,,Nación,10.0,CSF,CONTRIBUCIONES INHERENTES A LA NÓMINA,70323000000,0,0,70323000000,0,6151343096.0,64171656904.0,6151343096.0,4877482376.0,4877482376.0,4877482376.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-01-01-03,A,1.0,1.0,3.0,,,,,,Nación,10.0,CSF,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,14571000000,0,0,14571000000,0,315700534.0,14255299466.0,315700534.0,315700534.0,315700534.0,315700534.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-01-01-04,A,1.0,1.0,4.0,,,,,,Nación,10.0,CSF,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,19934000000,0,0,19934000000,19934000000,0.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-02,A,2.0,,,,,,,,Nación,10.0,CSF,ADQUISICIÓN DE BIENES  Y SERVICIOS,57553000000,0,0,57553000000,0,57548000000.0,5000000.0,21504661062.09,184346087.01,178272487.01,178272487.01,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-03-02-02,A,3.0,2.0,2.0,,,,,,Nación,10.0,CSF,A ORGANIZACIONES INTERNACIONALES,524000000,0,0,524000000,0,524000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-03-03-01-999,A,3.0,3.0,1.0,999,,,,,Nación,10.0,CSF,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,54447000000,0,0,54447000000,54447000000,0.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-03-03-04-073,A,3.0,3.0,4.0,073,,,,,Nación,10.0,CSF,"OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021",10000000000,0,0,10000000000,0,0.0,10000000000.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-03-04-02-012,A,3.0,4.0,2.0,012,,,,,Nación,10.0,CSF,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),628000000,0,0,628000000,0,2452765.0,625547235.0,2452765.0,2452765.0,2452765.0,2452765.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-03-10,A,3.0,10.0,,,,,,,Nación,10.0,CSF,SENTENCIAS Y CONCILIACIONES,325000000,0,0,325000000,0,325000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-08-01,A,8.0,1.0,,,,,,,Nación,10.0,CSF,IMPUESTOS,390000000,0,0,390000000,0,390000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,A-08-04-01,A,8.0,4.0,1.0,,,,,,Nación,11.0,SSF,CUOTA DE FISCALIZACIÓN Y AUDITAJE,980000000,0,0,980000000,0,0.0,980000000.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,B-10-01-03,B,10.0,1.0,3.0,,,,,,Nación,11.0,SSF,OTRAS CUENTAS POR PAGAR,1106000000,0,0,1106000000,0,0.0,1106000000.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,C-0101-1000-4-53105C,C,101.0,1000.0,4.0,53105C,,,,,Nación,10.0,CSF,"5. CONVERGENCIA REGIONAL / C. CALIDAD, EFECTIVIDAD, TRANSPARENCIA Y COHERENCIA DE LAS NORMAS",1000000000,0,0,1000000000,0,1000000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-11-53105B,C,199.0,1000.0,11.0,53105B,,,,,Nación,10.0,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,45000000000,0,0,45000000000,0,45000000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-12-53105B,C,199.0,1000.0,12.0,53105B,,,,,Nación,10.0,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,7500000000,0,0,7500000000,0,7500000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-13-53105B,C,199.0,1000.0,13.0,53105B,,,,,Nación,10.0,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,4000000000,0,0,4000000000,0,4000000000.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
01-01-01,SENADO DE LA REPUBLICA,C-0199-1000-14-53105B,C,199.0,1000.0,14.0,53105B,,,,,Nación,10.0,CSF,5. CONVERGENCIA REGIONAL / B. ENTIDADES PÚBLICAS TERRITORIALES Y NACIONALES FORTALECIDAS,2435616147,0,0,2435616147,0,2435616147.0,0.0,0.0,0.0,0.0,0.0,101,1,Congreso de la república,Congreso de la república,Enero,1
