TIPO,CTA,"SUB
CTA",OBJ,ORD,FUENTE,REC,SIT,APR. INICIAL,APR. ADICIONADA,APR. REDUCIDA,APR. VIGENTE,APR BLOQUEADA,CDP,APR. DISPONIBLE,COMPROMISO,OBLIGACION,ORDEN PAGO,PAGOS,mes,Código de entidad,Código de sector,Código de unidad,Sector,Entidad,Unidad,Tipo de gasto,Código de rubro,Nombre de rubro,mes_num,Cuenta_n,Subcuenta_n,Objeto_n,Ordinal_n,Cuenta,Subcuenta,Objeto,Ordinal,perc_ejecucion,perc_perdida,perc_compr
A,1.0,1.0,1.0,,Nación,10.0,CSF,182306000000,0,0,182306000000,0.0,53356008432.0,128949991568.0,53356008432.0,53356008432.0,53356008432.0,53356008432.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-01-01-01,SALARIO,4,1,1.0,1.0,,GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,0.0001060360664219479,0.9998939639335781,0.0001060360664219479
A,1.0,1.0,2.0,,Nación,10.0,CSF,62285000000,0,0,62285000000,0.0,23367564303.0,38917435697.0,23363148194.0,23362533430.0,23362533430.0,22305476936.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-01-01-02,CONTRIBUCIONES INHERENTES A LA NÓMINA,4,1,1.0,2.0,,GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,4.642909429264441e-05,0.9999535696839676,4.643031603239319e-05
A,1.0,1.0,3.0,,Nación,10.0,CSF,12775000000,0,0,12775000000,0.0,1408607331.0,11366392669.0,1408607331.0,1408607331.0,1408607331.0,1408607331.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-01-01-03,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,4,1,1.0,3.0,,GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,2.7993694600059123e-06,0.99999720063054,2.7993694600059123e-06
A,2.0,,,,Nación,10.0,CSF,57553000000,0,0,57553000000,0.0,54500655174.79,3052344825.21,51196431356.09,18346030796.86,18271640796.86,16952863413.66,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-02,ADQUISICIÓN DE BIENES  Y SERVICIOS,4,2,,,,ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,3.6459641515991666e-05,0.999898255728729,0.00010174427127096033
A,3.0,2.0,2.0,,Nación,10.0,CSF,524000000,0,0,524000000,0.0,497382000.0,26618000.0,497382000.0,497382000.0,497382000.0,497382000.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-03-02-02,A ORGANIZACIONES INTERNACIONALES,4,3,2.0,2.0,,TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA",,9.884628243189661e-07,0.9999990115371756,9.884628243189661e-07
A,3.0,3.0,1.0,999,Nación,10.0,CSF,53763000000,0,0,53763000000,53763000000.0,0.0,0.0,0.0,0.0,0.0,0.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-03-03-01-999,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,4,3,3.0,1.0,999.0,TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A HOGARES DIFERENTES DE PRESTACIONES SOCIALES,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,0.0,1.0,0.0
A,3.0,3.0,4.0,073,Nación,10.0,CSF,10000000000,0,0,10000000000,0.0,2006400013.0,7993599987.0,1659200012.0,298333332.0,298333332.0,203333332.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-03-03-04-073,"OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021",4,3,3.0,4.0,73.0,TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,"OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021",5.928871731128343e-07,0.9999967026198576,3.297380142368607e-06
A,3.0,4.0,2.0,012,Nación,10.0,CSF,628000000,0,0,628000000,0.0,106316959.0,521683041.0,106316959.0,87205434.0,87205434.0,87205434.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-03-04-02-012,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),4,3,4.0,2.0,12.0,TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,"AGRICULTURA, GANADERÍA, CAZA, SILVICULTURA Y PESCA","FORTALECIMIENTO A LOS PROCESOS ORGANIZATIVOS Y DE CONCERTACIÓN DE LAS COMUNIDADES NEGRAS, AFROCOLOMBIANAS, RAIZALES Y PALENQUERAS",1.7330608986171834e-07,0.999999788712978,2.1128702197937142e-07
A,8.0,1.0,,,Nación,10.0,CSF,445000000,0,0,445000000,0.0,352540800.0,92459200.0,352540800.0,346813900.0,346813900.0,346813900.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-08-01,IMPUESTOS,4,8,1.0,,,"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,6.89234124087875e-07,0.9999992993846282,7.006153717980702e-07
A,8.0,4.0,1.0,,Nación,11.0,SSF,980000000,0,0,980000000,0.0,0.0,980000000.0,0.0,0.0,0.0,0.0,abril,101,1,10101,Congreso de la república,Congreso de la república,Senado de la republica,Funcionamiento,A-08-04-01,CUOTA DE FISCALIZACIÓN Y AUDITAJE,4,8,4.0,1.0,,"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,0.0,1.0,0.0
