Año,Sector,Entidad,Tipo de gasto,apropiacion_corrientes,PIB
2013,Congreso de la república,Congreso de la república,Funcionamiento,383435000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,"Instituto de hidrología, meteorología y estudios ambientales - ideam",Funcionamiento,38264100000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,"Instituto de hidrología, meteorología y estudios ambientales - ideam",Inversión,22550000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Fondo nacional ambiental,Funcionamiento,19735290000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Fondo nacional ambiental,Inversión,35760000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de los valles del sinú y san jorge (cvs),Funcionamiento,2351270000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del quindío (crq),Funcionamiento,3930300000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del urabá (corpourabá),Funcionamiento,2618525000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del urabá (corpourabá),Inversión,1000000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de caldas (corpocaldas),Funcionamiento,2662415000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),Funcionamiento,1467200000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),Inversión,657000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del tolima (cortolima),Funcionamiento,1506500000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de risaralda (carder),Funcionamiento,1914693000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de nariño (corponariño),Funcionamiento,1831900000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Ministerio de ambiente y desarrollo sostenible,Inversión,140576000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de la frontera nororiental (corponor),Funcionamiento,2620340000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del cesar (corpocesar),Funcionamiento,2064166000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del cauca (crc),Funcionamiento,5063400000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del magdalena (corpamag),Funcionamiento,3463235000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional del magdalena (corpamag),Inversión,17000000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),Funcionamiento,1732200000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),Inversión,250000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),Funcionamiento,1710100000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del norte y oriente de la amazonia (cda),Inversión,450000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",Funcionamiento,1679900000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,"Corporación para el desarrollo sostenible del archipiélago de san andrés, providencia y santa catalina (coralina)",Inversión,1200000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),Funcionamiento,1846440000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),Inversión,500000000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación para el desarrollo sostenible de la mojana y el san jorge (corpomojana),Funcionamiento,1612001000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de la orinoquia (corporinoquia),Funcionamiento,1552840000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Corporación autónoma regional de la guajira (corpoguajira),Funcionamiento,2782340000.0,714092990000000.0
2013,Ambiente y desarrollo sostenible,Ministerio de ambiente y desarrollo sostenible,Funcionamiento,133450392000.0,714092990000000.0
2013,Fiscalía,Instituto nacional de medicina legal y ciencias forenses,Inversión,36330000000.0,714092990000000.0
2013,Fiscalía,Instituto nacional de medicina legal y ciencias forenses,Funcionamiento,136805310246.0,714092990000000.0
2013,Tecnologías de la información y las comunicaciones,Fondo único de tecnologías de la información y las comunicaciones,Inversión,993315800000.0,714092990000000.0
2013,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,Funcionamiento,9664000000.0,714092990000000.0
2013,Tecnologías de la información y las comunicaciones,Agencia nacional del espectro - ane,Inversión,18500000000.0,714092990000000.0
2013,Transporte,Ministerio de transporte,Funcionamiento,101182300000.0,714092990000000.0
2013,Transporte,Ministerio de transporte,Inversión,141894300000.0,714092990000000.0
2013,Transporte,Instituto nacional de vías,Funcionamiento,118498600000.0,714092990000000.0
2013,Transporte,Instituto nacional de vías,Deuda,59180100000.0,714092990000000.0
2013,Transporte,Instituto nacional de vías,Inversión,3764202787083.0,714092990000000.0
2013,Transporte,Unidad administrativa especial de la aeronáutica civil,Funcionamiento,251504300000.0,714092990000000.0
2013,Transporte,Unidad administrativa especial de la aeronáutica civil,Deuda,1212600000.0,714092990000000.0
2013,Transporte,Unidad administrativa especial de la aeronáutica civil,Inversión,454754397562.0,714092990000000.0
2013,Transporte,Agencia nacional de infraestructura,Funcionamiento,79156720000.0,714092990000000.0
2013,Transporte,Agencia nacional de infraestructura,Deuda,296770295000.0,714092990000000.0
2013,Transporte,Agencia nacional de infraestructura,Inversión,2818364111869.0,714092990000000.0
2013,Organismos de control,Procuraduría general de la nación,Funcionamiento,426007000000.0,714092990000000.0
2013,Organismos de control,Procuraduría general de la nación,Inversión,34352000000.0,714092990000000.0
2013,Organismos de control,Defensoría del pueblo,Funcionamiento,302406000000.0,714092990000000.0
2013,Fiscalía,Fiscalía general de la nación,Inversión,143935072868.0,714092990000000.0
2013,Fiscalía,Fiscalía general de la nación,Funcionamiento,1905322069125.0,714092990000000.0
2013,Registraduría,Fondo social de vivienda de la registraduría nacional del estado civil,Funcionamiento,9513000000.0,714092990000000.0
2013,Registraduría,Fondo rotatorio de la registraduría,Inversión,29459000000.0,714092990000000.0
2013,Registraduría,Fondo rotatorio de la registraduría,Funcionamiento,16878000000.0,714092990000000.0
2013,Registraduría,Registraduría nacional del estado civil,Inversión,46489944685.0,714092990000000.0
