Actividad,C1,C2,Impuesto,Año,Valor
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1970,5419.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1970,1000.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1970,3681.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1970,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1970,599.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1970,74.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1970,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1970,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1970,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1970,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1970,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1970,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1970,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1970,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1970,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1970,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1970,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1970,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1970,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1970,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1970,539.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1970,0.0
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1971,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1971,4045.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1971,6122.0
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1971,344.0
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1971,0.0
ACTIVIDAD INTERNA,Consumo bienes inmuebles,Consumo bienes inmuebles,Consumo bienes inmuebles,1971,0.0
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1971,0.0
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1971,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1971,1338.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1971,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1971,876.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1971,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1971,0.0
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1971,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1971,0.0
ACTIVIDAD INTERNA,Renta y complementarios,Retención en la fuente a título de renta,Retención en la fuente a título de renta,1971,818.0
ACTIVIDAD INTERNA,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,Impuestos saludables - Bebidas azucaradas,1971,0.0
ACTIVIDAD INTERNA,CREE,Retención CREE,Retención CREE,1971,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1971,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1971,0.0
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1971,0.0
ACTIVIDAD INTERNA,CREE,Declaraciones CREE,Declaraciones CREE,1971,0.0
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1972,4534.0
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1972,6862.0
ACTIVIDAD INTERNA,Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),Impuesto unificado RST (Simple),1972,0.0
ACTIVIDAD INTERNA,Impuesto de normalización tributaria,Impuesto de normalización tributaria,Impuesto de normalización tributaria,1972,0.0
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1972,0.0
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1972,1447.0
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1972,0.0
ACTIVIDAD INTERNA,Impuesto al carbono,Impuesto al carbono,Impuesto al carbono,1972,0.0
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1972,0.0
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1972,1040.0
