Año,C2,Valor,PIB nominal,perc_pib,Valor_pc
1975,Arancel,9479000000.0,539980000000.0,1.76,4882380562482.76
1975,CREE,0.0,1079960000000.0,0.0,0.0
1975,Consumo bienes inmuebles,0.0,539980000000.0,0.0,0.0
1975,G.M.F.,0.0,539980000000.0,0.0,0.0
1975,IVA externo,2584000000.0,539980000000.0,0.48,1330949612137.9314
1975,IVA interno,5174000000.0,539980000000.0,0.96,2664989664551.7246
1975,Impuesto al carbono,0.0,539980000000.0,0.0,0.0
1975,Impuesto al consumo,0.0,539980000000.0,0.0,0.0
1975,Impuesto de normalización tributaria,0.0,539980000000.0,0.0,0.0
1975,Impuesto gasolina y ACPM,0.0,539980000000.0,0.0,0.0
1975,Impuesto unificado RST (Simple),0.0,539980000000.0,0.0,0.0
1975,Impuestos saludables - Bebidas azucaradas,0.0,539980000000.0,0.0,0.0
1975,Impuestos saludables - Comestibles ultraprocesados,0.0,539980000000.0,0.0,0.0
1975,Patrimonio,0.0,539980000000.0,0.0,0.0
1975,Por clasificar,0.0,539980000000.0,0.0,0.0
1975,Productos plásticos de un solo uso,0.0,539980000000.0,0.0,0.0
1975,Renta,18315000000.0,1079960000000.0,3.39,9433568942068.967
1975,Riqueza,0.0,539980000000.0,0.0,0.0
1975,Timbre nacional,1658000000.0,539980000000.0,0.31,853991662896.5519
1976,Arancel,13687000000.0,697130000000.0,1.96,5679013081555.558
1976,CREE,0.0,1394260000000.0,0.0,0.0
1976,Consumo bienes inmuebles,0.0,697130000000.0,0.0,0.0
1976,G.M.F.,0.0,697130000000.0,0.0,0.0
1976,IVA externo,3564000000.0,697130000000.0,0.51,1478775672000.0005
1976,IVA interno,6497000000.0,697130000000.0,0.93,2695736683777.779
1976,Impuesto al carbono,0.0,697130000000.0,0.0,0.0
1976,Impuesto al consumo,0.0,697130000000.0,0.0,0.0
1976,Impuesto de normalización tributaria,0.0,697130000000.0,0.0,0.0
1976,Impuesto gasolina y ACPM,0.0,697130000000.0,0.0,0.0
1976,Impuesto unificado RST (Simple),0.0,697130000000.0,0.0,0.0
1976,Impuestos saludables - Bebidas azucaradas,0.0,697130000000.0,0.0,0.0
1976,Impuestos saludables - Comestibles ultraprocesados,0.0,697130000000.0,0.0,0.0
1976,Patrimonio,0.0,697130000000.0,0.0,0.0
1976,Por clasificar,0.0,697130000000.0,0.0,0.0
1976,Productos plásticos de un solo uso,0.0,697130000000.0,0.0,0.0
1976,Renta,20769000000.0,1394260000000.0,2.98,8617478095333.336
1976,Riqueza,0.0,697130000000.0,0.0,0.0
1976,Timbre nacional,1748000000.0,697130000000.0,0.25,725280548444.4447
1977,Arancel,19037000000.0,919410000000.0,2.07,6050172462468.085
1977,CREE,0.0,1838820000000.0,0.0,0.0
1977,Consumo bienes inmuebles,0.0,919410000000.0,0.0,0.0
