Cuenta,Subcuenta,Proyecto,Subproyecto,Concepto,Total,Código de entidad,Código de sector,Tipo de gasto,Código,Entidad,Sector
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,SALARIO,SALARIO,205332000000.0,101,1,Funcionamiento,1.1.1,Congreso de la república,Congreso de la república
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,CONTRIBUCIONES INHERENTES A LA NÓMINA,CONTRIBUCIONES INHERENTES A LA NÓMINA,70323000000.0,101,1,Funcionamiento,1.1.2,Congreso de la república,Congreso de la república
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,14571000000.0,101,1,Funcionamiento,1.1.3,Congreso de la república,Congreso de la república
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,OTROS GASTOS DE PERSONAL - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,19934000000.0,101,1,Funcionamiento,1.1.4,Congreso de la república,Congreso de la república
ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,ADQUISICIÓN DE BIENES  Y SERVICIOS,111808746000.0,101,1,Funcionamiento,2,Congreso de la república,Congreso de la república
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES,568200000.0,101,1,Funcionamiento,3.2.2,Congreso de la república,Congreso de la república
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,"OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021","OPERACIÓN Y FUNCIONAMIENTO DEL CENTRO DE ALTOS ESTUDIOS LEGISLATIVOS JORGE AURELIO IRAGORRI HORMAZA (CAEL), CREADO POR EL ARTÍCULO 6° DE LA LEY 2165 DE 2021",10000000000.0,101,1,Funcionamiento,3.3.4.73,Congreso de la república,Congreso de la república
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),628000000.0,101,1,Funcionamiento,3.4.2.12,Congreso de la república,Congreso de la república
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,SENTENCIAS Y CONCILIACIONES,SENTENCIAS Y CONCILIACIONES,SENTENCIAS Y CONCILIACIONES,325000000.0,101,1,Funcionamiento,3.10,Congreso de la república,Congreso de la república
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS,IMPUESTOS,IMPUESTOS,IMPUESTOS,537054000.0,101,1,Funcionamiento,8.1,Congreso de la república,Congreso de la república
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,CUOTA DE FISCALIZACIÓN Y AUDITAJE,CUOTA DE FISCALIZACIÓN Y AUDITAJE,980000000.0,101,1,Funcionamiento,8.4.1,Congreso de la república,Congreso de la república
