Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,Apropiación a precios corrientes,Apropiación a precios constantes (2026)
2013,Congreso de la república,1,Congreso de la república,101,Funcionamiento,383435000000.0,757327499999.9999
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales- ideam",3202,Funcionamiento,38264100000.0,75575926018.09953
2013,Ambiente y desarrollo sostenible,32,"Instituto de hidrología, meteorología y estudios ambientales- ideam",3202,Inversión,22550000000.0,44538800904.97737
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Funcionamiento,19735290000.0,38979430248.868774
2013,Ambiente y desarrollo sostenible,32,Fondo nacional ambiental,3204,Inversión,35760000000.0,70630045248.86876
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de los valles del sinú y san jorge (cvs),3208,Funcionamiento,2351270000.0,4644024230.76923
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del quindío (crq),3209,Funcionamiento,3930300000.0,7762787104.072397
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Funcionamiento,2618525000.0,5171883088.235293
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del urabá (corpourabá),3210,Inversión,1000000000.0,1975113122.171945
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de caldas (corpocaldas),3211,Funcionamiento,2662415000.0,5258570803.167419
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Funcionamiento,1467200000.0,2897885972.8506784
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional para el desarrollo sostenible del choco (codechoco),3212,Inversión,657000000.0,1297649321.266968
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del tolima (cortolima),3214,Funcionamiento,1506500000.0,2975507918.552036
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de risaralda (carder),3215,Funcionamiento,1914693000.0,3781735269.2307687
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de nariño (corponariño),3216,Funcionamiento,1831900000.0,3618209728.506787
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Inversión,140576000000.0,277653502262.4434
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la frontera nororiental (corponor),3217,Funcionamiento,2620340000.0,5175467918.552035
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cesar (corpocesar),3219,Funcionamiento,2064166000.0,4076961352.941176
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del cauca (crc),3221,Funcionamiento,5063400000.0,10000787782.805428
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del magdalena (corpamag),3222,Funcionamiento,3463235000.0,6840280893.665157
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del magdalena (corpamag),3222,Inversión,17000000000.0,33576923076.923073
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,Funcionamiento,1732200000.0,3421290950.226244
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del sur de la amazonia (corpoamazonia),3223,Inversión,250000000.0,493778280.54298633
2013,Ambiente y desarrollo sostenible,32,Corporación  para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,Funcionamiento,1710100000.0,3377640950.226244
2013,Ambiente y desarrollo sostenible,32,Corporación  para el desarrollo sostenible del norte y oriente de la amazonia (cda),3224,Inversión,450000000.0,888800904.9773754
2013,Ambiente y desarrollo sostenible,32,"Corporación para el desarrollo sostenible del archipiélago de san andres, providencia y santa catalina (coralina)",3226,Funcionamiento,1679900000.0,3317992533.936651
2013,Ambiente y desarrollo sostenible,32,"Corporación para el desarrollo sostenible del archipiélago de san andres, providencia y santa catalina (coralina)",3226,Inversión,1200000000.0,2370135746.606334
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3227,Funcionamiento,1846440000.0,3646927873.303167
2013,Ambiente y desarrollo sostenible,32,Corporación para el desarrollo sostenible del área de manejo especial la macarena (cormacarena),3227,Inversión,500000000.0,987556561.0859728
2013,Ambiente y desarrollo sostenible,32,Corporación  para el desarrollo sostenible de la mojana y el san jorge (corpomojana),3228,Funcionamiento,1612001000.0,3183884328.054298
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la orinoquia (corporinoquia),3229,Funcionamiento,1552840000.0,3067034660.6334834
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de la guajira (corpoguajira),3218,Funcionamiento,2782340000.0,5495436244.34389
2013,Ambiente y desarrollo sostenible,32,Ministerio de ambiente y desarrollo sostenible,3201,Funcionamiento,133450392000.0,263579620398.19
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Inversión,36330000000.0,71755859728.50677
2013,Fiscalía,29,Instituto nacional de medicina legal y ciencias forenses,2902,Funcionamiento,136805310246.0,270205963449.67868
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Inversión,993315800000.0,1961911071040.7236
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Funcionamiento,9664000000.0,19087493212.66968
2013,Tecnologías de la información y las comunicaciones,23,Agencia nacional del espectro - ane,2309,Inversión,18500000000.0,36539592760.18099
2013,Transporte,24,Ministerio de transporte,2401,Funcionamiento,101182300000.0,199846488461.5384
2013,Transporte,24,Ministerio de transporte,2401,Inversión,141894300000.0,280257293891.40265
2013,Transporte,24,Instituto nacional de vías,2402,Funcionamiento,118498600000.0,234048139819.0045
2013,Transporte,24,Instituto nacional de vías,2402,Deuda,59180100000.0,116887392081.44794
2013,Transporte,24,Instituto nacional de vías,2402,Inversión,3764202787083.0,7434726319283.843
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Funcionamiento,251504300000.0,496749443212.6696
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Deuda,1212600000.0,2395022171.945701
2013,Transporte,24,Unidad administrativa especial de la aeronáutica civil,2412,Inversión,454754397562.0,898191377990.1039
2013,Transporte,24,Agencia nacional de infraestructura,2413,Funcionamiento,79156720000.0,156343476380.09048
2013,Transporte,24,Agencia nacional de infraestructura,2413,Deuda,296770295000.0,586154903925.3392
2013,Transporte,24,Agencia nacional de infraestructura,2413,Inversión,2818364111869.0,5566587940410.942
2013,Organismos de control,25,Procuraduría general de la nación,2501,Funcionamiento,426007000000.0,841412015837.1039
2013,Organismos de control,25,Procuraduría general de la nación,2501,Inversión,34352000000.0,67849085972.85067
2013,Organismos de control,25,Defensoría del pueblo,2502,Funcionamiento,302406000000.0,597286058823.5293
2013,Fiscalía,29,Fiscalía general de la nación,2901,Inversión,143935072868.0,284288051162.36194
2013,Fiscalía,29,Fiscalía general de la nación,2901,Funcionamiento,1905322069125.0,3763226620692.59
2013,Registraduría,28,Fondo social de vivienda de la registraduría nacional del estado civil,2803,Funcionamiento,9513000000.0,18789251131.22172
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Inversión,29459000000.0,58184857466.06334
2013,Registraduría,28,Fondo rotatorio de la registraduría,2802,Funcionamiento,16878000000.0,33335959276.018093
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Inversión,46489944685.0,91822899796.3914
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de sucre (carsucre),3230,Funcionamiento,1730998000.0,3418916864.253393
2013,Registraduría,28,Registraduría nacional del estado civil,2801,Funcionamiento,345766000000.0,682926963800.9049
2013,Rama judicial,27,Rama judicial,2701,Funcionamiento,2342136081106.0,4625983707704.836
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Inversión,6200000000.0,12245701357.46606
2013,Organismos de control,25,Fondo de bienestar social de la contraloría general de la república,2602,Funcionamiento,52864000000.0,104412380090.49773
2013,Organismos de control,25,Contraloría general de la república,2601,Inversión,70071000000.0,138398151583.7104
2013,Organismos de control,25,Contraloría general de la república,2601,Funcionamiento,386614000000.0,763606384615.3845
2013,Organismos de control,25,Defensoría del pueblo,2502,Inversión,15382000000.0,30381190045.248863
2013,Rama judicial,27,Rama judicial,2701,Inversión,331910058937.0,655559912787.3325
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de sucre (carsucre),3230,Inversión,500000000.0,987556561.0859728
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del centro de antioquia (corantioquia),3232,Funcionamiento,1757900000.0,3472051357.4660625
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del atlántico (cra),3233,Funcionamiento,1530064000.0,3022049484.162895
2013,Interior,37,Dirección nacional del derecho de autor,3703,Funcionamiento,2668258829.0,5270113026.509048
2013,Interior,37,Dirección nacional del derecho de autor,3703,Inversión,930585000.0,1838010644.79638
2013,Interior,37,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,3704,Funcionamiento,2457723338.0,4854281615.552035
2013,Interior,37,Corporación nacional para la reconstrucción de la cuenca del rio páez y zonas aledañas nasa ki we,3704,Inversión,16700000000.0,32984389140.27149
2013,Interior,37,Unidad nacional de protección - unp,3708,Funcionamiento,242334631489.0,478638310610.6266
2013,Interior,37,Unidad nacional de protección - unp,3708,Inversión,3155000000.0,6231481900.452488
2013,Interior,37,Dirección nacional de bomberos,3709,Funcionamiento,9000000000.0,17776018099.54751
2013,Empleo público,5,Comisión nacional del servicio civil,3801,Funcionamiento,23801021000.0,47009708898.19004
2013,Empleo público,5,Comisión nacional del servicio civil,3801,Inversión,36539000000.0,72168658371.04071
2013,"Ciencia, tecnología e innovación",39,"Ministerio de ciencia, tecnología e innovación",3901,Funcionamiento,17628000000.0,34817294117.64705
2013,"Ciencia, tecnología e innovación",39,"Ministerio de ciencia, tecnología e innovación",3901,Inversión,370314600000.0,731413225791.8551
2013,"Vivienda, ciudad y territorio",40,"Ministerio de vivienda, ciudad y territorio",4001,Funcionamiento,1467428205544.0,2898336704615.185
2013,"Vivienda, ciudad y territorio",40,"Ministerio de vivienda, ciudad y territorio",4001,Inversión,793974330000.0,1568189117850.6785
2013,"Vivienda, ciudad y territorio",40,Fondo nacional de vivienda - fonvivienda,4002,Funcionamiento,59304310.0,117132720.88235292
2013,"Vivienda, ciudad y territorio",40,Fondo nacional de vivienda - fonvivienda,4002,Inversión,1300337000000.0,2568312671945.7007
2013,Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Funcionamiento,113596000000.0,224364950226.2443
2013,Inclusión social y reconciliación,41,Departamento administrativo para la prosperidad social,4101,Inversión,2275163904206.0,4493706082289.226
2013,Deporte y recreación,43,Ministerio del deporte,4301,Inversión,312257000000.0,616742898190.0452
2013,Deporte y recreación,43,Ministerio del deporte,4301,Funcionamiento,22631914916.0,44700592130.47058
2013,Inteligencia,42,Departamento administrativo dirección nacional de inteligencia,4201,Inversión,35000000000.0,69128959276.01808
2013,Inteligencia,42,Departamento administrativo dirección nacional de inteligencia,4201,Funcionamiento,74973000000.0,148080156108.59726
2013,Igualdad y equidad,46,Instituto colombiano de bienestar familiar,4602,Inversión,4423951273783.0,8737804212698.096
2013,Igualdad y equidad,46,Instituto colombiano de bienestar familiar,4602,Funcionamiento,296822383924.0,586257785442.6515
2013,Interior,37,Fondo para la participación y el fortalecimiento de la democracia,3702,Funcionamiento,1633522905.0,3226392525.033936
2013,Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Inversión,33031708000.0,65241359918.552025
2013,Inclusión social y reconciliación,41,Unidad de atención y reparación integral a las víctimas,4104,Inversión,754456000000.0,1490135945701.3572
2013,Inclusión social y reconciliación,41,Unidad de atención y reparación integral a las víctimas,4104,Funcionamiento,729737000000.0,1441313124434.389
2013,Inclusión social y reconciliación,41,Agencia nacional para la superación de la pobreza extrema,4103,Inversión,215000000000.0,424649321266.96826
2013,Inclusión social y reconciliación,41,Agencia nacional para la superación de la pobreza extrema,4103,Funcionamiento,22912000000.0,45253791855.20361
2013,Inclusión social y reconciliación,41,Unidad administrativa especial para la consolidación territorial,4102,Inversión,150000000000.0,296266968325.7918
2013,Inclusión social y reconciliación,41,Unidad administrativa especial para la consolidación territorial,4102,Funcionamiento,33499000000.0,66164314479.638
2013,Inclusión social y reconciliación,41,Centro de memoria histórica,4105,Funcionamiento,10490000000.0,20718936651.583706
2013,Tecnologías de la información y las comunicaciones,23,Fondo único de tecnologías de la información y las comunicaciones,2306,Funcionamiento,346709700000.0,684790878054.2985
2013,Interior,37,Ministerio del interior,3701,Inversión,58999893730.0,116531464312.87328
2013,Trabajo,36,Unidad administrativa especial de organizaciones solidarias,3612,Inversión,6171087174.0,12188595255.434387
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de santander (cas),3234,Funcionamiento,1494600000.0,2952004072.3981895
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de boyacá (corpoboyacá),3235,Funcionamiento,1661700000.0,3282045475.1131215
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional de chivor (corpochivor),3236,Funcionamiento,1648349000.0,3255675739.819004
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del guavio (corpoguavio),3237,Funcionamiento,665525000.0,1314487160.633484
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del canal del dique (cardique),3238,Funcionamiento,1717587000.0,3392428622.171945
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del sur de bolívar (csb),3239,Funcionamiento,1875299000.0,3703927662.895927
2013,Cultura,33,"Ministerio de las culturas, las artes y los saberes ancestrales",3301,Funcionamiento,192846560988.0,380893773173.1312
2013,Cultura,33,"Ministerio de las culturas, las artes y los saberes ancestrales",3301,Inversión,163548000000.0,323025800904.9773
2013,Cultura,33,Archivo general de la nación,3304,Funcionamiento,9336749945.0,18441137334.80769
2013,Cultura,33,Archivo general de la nación,3304,Inversión,9580000000.0,18921583710.40724
2013,Cultura,33,Instituto colombiano de antropología e historia,3305,Funcionamiento,4755541445.0,9392732311.052034
2013,Cultura,33,Instituto colombiano de antropología e historia,3305,Inversión,5671000160.0,11200866831.855202
2013,Cultura,33,Instituto caro y cuervo,3307,Funcionamiento,5708710055.0,11275348140.305428
2013,Cultura,33,Instituto caro y cuervo,3307,Inversión,4373000000.0,8637169683.257917
2013,Organismos de control,25,Auditoría general de la republica,3401,Funcionamiento,20655000000.0,40795961538.46153
2013,Organismos de control,25,Auditoría general de la republica,3401,Inversión,4460000000.0,8809004524.886877
2013,"Comercio, industria y turismo",35,"Ministerio de comercio, industria y turismo",3501,Funcionamiento,384863061300.0,760148082612.8958
2013,Trabajo,36,Unidad administrativa especial de organizaciones solidarias,3612,Funcionamiento,7723448000.0,15254683493.212667
2013,Trabajo,36,Servicio nacional de aprendizaje (sena),3602,Inversión,2206069801000.0,4357237412382.352
2013,Trabajo,36,Servicio nacional de aprendizaje (sena),3602,Deuda,165400000.0,326683710.40723974
2013,Trabajo,36,Servicio nacional de aprendizaje (sena),3602,Funcionamiento,69345443000.0,136965094432.12668
2013,Trabajo,36,Ministerio del trabajo,3601,Inversión,1219651371000.0,2408949427337.1035
2013,Trabajo,36,Ministerio del trabajo,3601,Funcionamiento,15604522390000.0,30820696937714.93
2013,Interior,37,Ministerio del interior,3701,Funcionamiento,283642679304.0,560226377901.3392
2013,"Comercio, industria y turismo",35,Instituto nacional de metrología - inm,3505,Inversión,6085000000.0,12018563348.416288
2013,"Comercio, industria y turismo",35,Unidad administrativa especial junta central contadores,3504,Funcionamiento,5612334534.0,11084995584.12217
2013,"Comercio, industria y turismo",35,Superintendencia de industria y comercio,3503,Inversión,35327000000.0,69774821266.9683
2013,"Comercio, industria y turismo",35,Superintendencia de industria y comercio,3503,Funcionamiento,58842797000.0,116221180499.99998
2013,"Comercio, industria y turismo",35,Superintendencia de sociedades,3502,Inversión,11560000000.0,22832307692.30769
2013,"Comercio, industria y turismo",35,Superintendencia de sociedades,3502,Funcionamiento,102546142000.0,202540230692.30765
2013,"Comercio, industria y turismo",35,"Ministerio de comercio, industria y turismo",3501,Inversión,287644911486.0,568131239201.9863
2013,"Comercio, industria y turismo",35,Instituto nacional de metrología - inm,3505,Funcionamiento,10000192000.0,19751510443.43891
2013,Tecnologías de la información y las comunicaciones,23,Ministerio de tecnologías de la información y las comunicaciones,2301,Inversión,8550000000.0,16887217194.570131
2013,Ambiente y desarrollo sostenible,32,Corporación autónoma regional del alto magdalena (cam),3231,Funcionamiento,1637500000.0,3234247737.5565605
2013,Educación,22,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2242,Inversión,287116568.0,567087701.0497737
2013,Justicia y del derecho,12,Ministerio de justicia y del derecho,1201,Funcionamiento,54680087196.0,107999357742.32578
2013,Justicia y del derecho,12,Ministerio de justicia y del derecho,1201,Inversión,52369975978.0,103436626761.97736
