Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,Ingreso_alt,IPC,Valor_25
INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,101693146636000.0,Nación,Nación,Nación,Nación,2013,INGRESOS CORRIENTES DE LA NACIÓN,53.2632511417188,190925533939756.4
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,1003543093.0,2239.0,22.0,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,1884119109.3083093
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,1211000000.0,2239.0,22.0,Educación,Instituto nacional de formación técnica profesional de san juan del cesar,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,2273612620.412268
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,3681703895.0,2241.0,22.0,Educación,Instituto tolimense de formación técnica profesional,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,6912277820.225437
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,31900000.0,2241.0,22.0,Educación,Instituto tolimense de formación técnica profesional,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,59891199.497234814
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,16700000.0,2241.0,22.0,Educación,Instituto tolimense de formación técnica profesional,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,31353700.050276533
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,572900000.0,2241.0,22.0,Educación,Instituto tolimense de formación técnica profesional,2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,1075600883.760684
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,1399498346.0,2242.0,22.0,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,2627512057.5653963
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,29000000.0,2242.0,22.0,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,54446544.99748619
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,81000000.0,2242.0,22.0,Educación,"Instituto técnico nacional de comercio ""simón rodríguez"" de cali",2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,53.2632511417188,152074832.57918558
