Año,Ingreso,Ingreso_alt,Ingreso específico,Valor,Valor a precios constantes (2026)
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,292578303448.0,577875246402.9501
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,65052047891.0,128485153413.67192
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES PATRONALES,15907092000.0,31418306144.796375
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES,10650100000.0,21035152262.443436
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,5389209127637.0,10644297666124.66
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES DE LA NACIÓN,357367119068.0,705840486303.9908
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS ADMINISTRADOS DEL FOSYGA,2734000000.0,5399959276.018099
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS POR U.P.C. REGIMEN CONTRIBUTIVO,69598010841.0,137463944489.12442
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,731305143741.0,1444410385714.6897
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,525964698327.0,1038839777464.8663
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,2327287196836.0,4596655481533.547
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",1961200542949.0,3873592927589.314
2013,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,2595862795476.0,5127122670702.597
2013,INGRESOS DEL PRESUPUESTO NACIONAL,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,CONTRIBUCIONES PARAFISCALES DE LA NACIÓN,1211443724583.0,2392738397196.7393
