Año,ACTIVIDAD EXTERNA,ACTIVIDAD INTERNA,RECAUDO,PIB nominal,perc_interna,perc_externa,perc_total
1975,12063000000.0,25147000000.0,37210000000.0,539980000000.0,4.7,2.2,6.9
1976,17251000000.0,29014000000.0,46265000000.0,697130000000.0,4.2,2.5,6.6
1977,24144000000.0,34708000000.0,58852000000.0,919410000000.0,3.8,2.6,6.4
1978,29011000000.0,44704000000.0,73715000000.0,1184850000000.0,3.8,2.4,6.2
1979,34819000000.0,57217000000.0,92036000000.0,1556760000000.0,3.7,2.2,5.9
1980,50332000000.0,72045000000.0,122377000000.0,2072290000000.0,3.5,2.4,5.9
1981,54694000000.0,85384000000.0,140078000000.0,2601330000000.0,3.3,2.1,5.4
1982,65254000000.0,108021000000.0,173275000000.0,3289210000000.0,3.3,2.0,5.3
1983,64202000000.0,149664000000.0,213866000000.0,4032180000000.0,3.7,1.6,5.3
1984,71914000000.0,194135000000.0,266049000000.0,5074930000000.0,3.8,1.4,5.2
1985,131173000000.0,276386000000.0,407559000000.0,6528790000000.0,4.2,2.0,6.2
1986,204381000000.0,373567000000.0,577948000000.0,8846880000000.0,4.2,2.3,6.5
1987,332825000000.0,508457000000.0,841282000000.0,11466860000000.0,4.4,2.9,7.3
1988,468419000000.0,674696000000.0,1143115000000.0,15391800000000.0,4.4,3.0,7.4
1989,561579000000.0,920160000000.0,1481739000000.0,19876230000000.0,4.6,2.8,7.5
1990,705148000000.0,1267784000000.0,1972932000000.0,26370960000000.0,4.8,2.7,7.5
1991,693539000000.0,2078931000000.0,2772470000000.0,34169800000000.004,6.1,2.0,8.1
1992,797024000000.0,2796539000000.0,3593563000000.0,44199880000000.0,6.3,1.8,8.1
1993,1447246000000.0,3693220000000.0,5140466000000.0,58931950000000.0,6.3,2.5,8.7
1994,1887427000000.0,4698324000000.0,6585751000000.0,77147060000000.0,6.1,2.4,8.5
1995,2328230000000.0,5831299000000.0,8159529000000.0,96403410000000.0,6.0,2.4,8.5
1996,2557148000000.0,7608094000000.0,10165242000000.0,117183850000000.0,6.5,2.2,8.7
1997,3563331000000.0,9722309000000.0,13285640000000.0,141383090000000.0,6.9,2.5,9.4
1998,4130804000000.0,10890906000000.0,15021710000000.0,163598460000000.0,6.7,2.5,9.2
1999,3583689000000.0,12851660000000.0,16435349000000.0,177038260000000.0,7.3,2.0,9.3
2000,4539118000000.0,14755989000000.0,19295107000000.0,200762300000000.0,7.3,2.3,9.6
2001,5428024000000.0,19441736000000.0,24869760000000.0,219063370000000.0,8.9,2.5,11.4
2002,5649559000000.0,21903836000000.0,27553395000000.0,237505580000000.0,9.2,2.4,11.6
2003,6710450000000.0,25574802000000.0,32285252000000.0,268144099999999.97,9.5,2.5,12.0
2004,7632614000000.0,30232457000000.0,37865071000000.0,302514650000000.0,10.0,2.5,12.5
2005,9319078000000.0,34272521000000.0,43591599000000.0,337958000000000.0,10.1,2.8,12.9
2006,12279768000000.0,40544593000000.0,52824361000000.0,381604000000000.0,10.6,3.2,13.8
2007,13354333000000.0,46887522000000.0,60241855000000.0,428506000000000.0,10.9,3.1,14.1
2008,14178645000000.0,52854172000000.0,67032817000000.0,476554000000000.0,11.1,3.0,14.1
2009,12755905000000.0,56154877000000.0,68910782000000.0,501574000000000.0,11.2,2.5,13.7
2010,14595553000000.0,55603235000000.0,70198788000000.0,544060000000000.0,10.2,2.7,12.9
2011,17008076000000.0,69572823000000.0,86580899000000.0,619023000000000.0,11.2,2.7,14.0
2012,17042991000000.0,82101885000000.0,99144876000000.0,666507000000000.0,12.3,2.6,14.9
2013,16450970000000.0,89317271000000.0,105768241000000.0,714093000000000.0,12.5,2.3,14.8
2014,18036544000000.0,96325166000000.0,114361710000000.0,762903000000000.0,12.6,2.4,15.0
2015,20556856000000.0,103169061000000.0,123725917000000.0,804692000000000.0,12.8,2.6,15.4
2016,19590012000000.0,107164023000000.0,126754035000000.0,863782000000000.0,12.4,2.3,14.7
2017,21531402000000.0,114917771000000.0,136449173000000.0,920471000000000.0,12.5,2.3,14.8
2018,23170836000000.0,121208744000000.0,144379580000000.0,987791000000000.0,12.3,2.3,14.6
2019,26451570000000.0,131169151000000.0,157620721000000.0,1061119000000000.0,12.4,2.5,14.9
2020,23911545000000.0,122354610000000.0,146266155000000.0,998471000000000.0,12.3,2.4,14.6
2021,34050162000000.0,139615799000000.0,173665961000000.0,1192634000000000.0,11.7,2.9,14.6
2022,48859782000000.0,179520436000000.0,228380218000000.0,1469791000000000.0,12.2,3.3,15.5
2023,41738804000000.0,237178934000000.0,278917738000000.0,1572458340000000.0,15.1,2.7,17.7
