cod_entidad,cod_sector,Tipo de gasto,Entidad,Sector,Total
0101,01,Funcionamiento,Congreso de la república,Congreso de la república,1116820490563
0101,01,Deuda,Congreso de la república,Congreso de la república,1105650762
0101,01,Inversión,Congreso de la república,Congreso de la república,147320456000
0201,02,Funcionamiento,Presidencia de la república,Presidencia de la república,1174829384810
0201,02,Inversión,Presidencia de la república,Presidencia de la república,77203946685
0209,02,Funcionamiento,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Presidencia de la república,51429000000
0209,02,Inversión,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",Presidencia de la república,87792981663
0211,02,Funcionamiento,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,802544000000
0211,02,Inversión,Unidad nacional para la gestión del riesgo de desastres,Presidencia de la república,10000000000
0212,02,Funcionamiento,Agencia para la reincorporación y la normalización - arn,Presidencia de la república,370454000000
0212,02,Inversión,Agencia para la reincorporación y la normalización - arn,Presidencia de la república,2000000000
0213,02,Funcionamiento,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,14478000000
0213,02,Inversión,Agencia nacional inmobiliaria virgilio barco vargas,Presidencia de la república,45000000000
0214,02,Funcionamiento,Agencia de renovación del territorio – art,Presidencia de la república,77296000000
0214,02,Inversión,Agencia de renovación del territorio – art,Presidencia de la república,99939000000
0301,03,Funcionamiento,Departamento administrativo nacional de planeación,Planeación,116285993726
0301,03,Inversión,Departamento administrativo nacional de planeación,Planeación,570000000000
0303,03,Funcionamiento,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,Planeación,29682785711
0303,03,Inversión,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,Planeación,85597916411
0324,03,Funcionamiento,Superintendencia de servicios públicos domiciliarios,Planeación,492577267947
0324,03,Inversión,Superintendencia de servicios públicos domiciliarios,Planeación,42635000000
0401,04,Funcionamiento,Departamento administrativo nacional de estadística (dane),Información estadística,173579000000
0401,04,Inversión,Departamento administrativo nacional de estadística (dane),Información estadística,108650771518
0402,04,Funcionamiento,Fondo rotatorio del dane,Información estadística,930025026
0402,04,Inversión,Fondo rotatorio del dane,Información estadística,30227205570
0403,04,Funcionamiento,Instituto geográfico agustín codazzi - igac,Información estadística,132555311492
0403,04,Inversión,Instituto geográfico agustín codazzi - igac,Información estadística,143463763466
