CTA PROG,SUBC SUBP,OBJG PROY,ORD SPRY,Fuente,Rec.,Sit,Nombre del rubro,Apropiación 2025,Código de entidad,Entidad,Código de sector,Sector,Tipo de gasto,Año,% porc
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,211155435277,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0401
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,79350205136,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0151
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,14618980034,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0028
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,124309756253,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0236
TRANSFERENCIAS CORRIENTES,A GOBIERNOS Y ORGANIZACIONES INTERNACIONALES,A ORGANIZACIONES INTERNACIONALES ,,Nación,10,C,A ORGANIZACIONES INTERNACIONALES,525755100,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0001
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,Nación,10,C,OTRAS TRANSFERENCIAS - DISTRIBUCIÓN PREVIO CONCEPTO DGPPN,10000000000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0019
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),300000000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0001
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Nación,10,C,SENTENCIAS Y CONCILIACIONES,325000000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0001
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,389340000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0001
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,980000000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0002
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,2800620677,101,Congreso de la república,1,Congreso de la república,Deuda,2025,0.0005
,,,,Nación,10,C,INVERSION,29365761913,101,Congreso de la república,1,Congreso de la república,Inversión,2025,0.0056
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,295608391955,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0561
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,114073858800,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0217
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,13241294049,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0025
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,220796065996,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0419
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,148400000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,Nación,10,C,TASAS Y DERECHOS ADMINISTRATIVOS,19080000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,1238080000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0002
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA","MULTAS, SANCIONES E INTERESES DE MORA",,,Nación,10,C,"MULTAS, SANCIONES E INTERESES DE MORA",146280000,101,Congreso de la república,1,Congreso de la república,Funcionamiento,2025,0.0
SERVICIO DE LA DEUDA PÚBLICA INTERNA,FONDO DE CONTINGENCIAS,APORTES AL FONDO DE CONTINGENCIAS,,Nación,10,C,APORTES AL FONDO DE CONTINGENCIAS,1494959314,101,Congreso de la república,1,Congreso de la república,Deuda,2025,0.0003
,,,,Nación,10,C,INVERSION,47866191918,101,Congreso de la república,1,Congreso de la república,Inversión,2025,0.0091
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,96251726433,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0183
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,33120396694,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0063
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,26251341770,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.005
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,87563466427,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0166
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ,Nación,10,C,FONDO DE PROGRAMAS ESPECIALES PARA LA PAZ,165882180865,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0315
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,PLAN DE PROMOCIÓN DE COLOMBIA EN EL EXTERIOR,Nación,10,C,PLAN DE PROMOCIÓN DE COLOMBIA EN EL EXTERIOR,1965550000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0004
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A ÓRGANOS DEL PGN,"TRANSFERENCIAS PARA LA ESTRATEGIA DE INTERACCIÓN Y DIÁLOGO PERMANENTE ENTRE LAS AUTORIDADES DE ORDEN TERRITORIAL, GOBIERNO NACIONAL Y LOS CIUDADANOS",Nación,10,C,"TRANSFERENCIAS PARA LA ESTRATEGIA DE INTERACCIÓN Y DIÁLOGO PERMANENTE ENTRE LAS AUTORIDADES DE ORDEN TERRITORIAL, GOBIERNO NACIONAL Y LOS CIUDADANOS",7144000000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0014
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,FONDO COLOMBIA EN PAZ (FCP) - DECRETO 691 DE 2017,Nación,10,C,FONDO COLOMBIA EN PAZ (FCP) - DECRETO 691 DE 2017,493657839942,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0937
TRANSFERENCIAS CORRIENTES,A ENTIDADES DEL GOBIERNO,A OTRAS ENTIDADES DEL GOBIERNO GENERAL,FONDO MUJER EMPRENDE. DECRETO LEY 810 DE 2020 Y LEY 2069 DE 2020.,Nación,10,C,FONDO MUJER LIBRE Y PRODUCTIVA. ART. 73 LEY 2294 DE 2023,80000000000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0152
TRANSFERENCIAS CORRIENTES,PRESTACIONES PARA CUBRIR RIESGOS SOCIALES,PRESTACIONES SOCIALES RELACIONADAS CON EL EMPLEO,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),Nación,10,C,INCAPACIDADES Y LICENCIAS DE MATERNIDAD Y PATERNIDAD (NO DE PENSIONES),344000000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0001
TRANSFERENCIAS CORRIENTES,BECAS Y OTROS BENEFICIOS DE EDUCACIÓN ,BECAS Y OTROS BENEFICIOS DE EDUCACIÓN ,TRANSFERENCIA CONVENIOS ICETEX,Nación,10,C,TRANSFERENCIA CONVENIOS ICETEX,245921697,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0
TRANSFERENCIAS CORRIENTES,SENTENCIAS Y CONCILIACIONES,,,Nación,10,C,SENTENCIAS Y CONCILIACIONES,1572749769,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0003
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",IMPUESTOS ,,,Nación,10,C,IMPUESTOS,430360000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0001
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",TASAS Y DERECHOS ADMINISTRATIVOS,,,Nación,10,C,TASAS Y DERECHOS ADMINISTRATIVOS,85860000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CUOTA DE FISCALIZACIÓN Y AUDITAJE,,Nación,10,C,CUOTA DE FISCALIZACIÓN Y AUDITAJE,873440000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0002
"GASTOS POR TRIBUTOS, MULTAS, SANCIONES E INTERESES DE MORA",CONTRIBUCIONES,CONTRIBUCIÓN NACIONAL DE VALORIZACIÓN,,Nación,10,C,CONTRIBUCIÓN NACIONAL DE VALORIZACIÓN,51940000,201,Presidencia de la república,2,Presidencia de la república,Funcionamiento,2025,0.0
,,,,Nación,10,C,INVERSION,155590959833,201,Presidencia de la república,2,Presidencia de la república,Inversión,2025,0.0295
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,SALARIO,,Nación,10,C,SALARIO,10409840520,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.002
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,CONTRIBUCIONES INHERENTES A LA NÓMINA,,Nación,10,C,CONTRIBUCIONES INHERENTES A LA NÓMINA,3494757963,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0007
GASTOS DE PERSONAL,PLANTA DE PERSONAL PERMANENTE,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,,Nación,10,C,REMUNERACIONES NO CONSTITUTIVAS DE FACTOR SALARIAL,1079013192,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0002
ADQUISICIÓN DE BIENES  Y SERVICIOS,,,,Nación,10,C,ADQUISICIÓN DE BIENES  Y SERVICIOS,4499000000,209,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2,Presidencia de la república,Funcionamiento,2025,0.0009
