Año,Sector,Etapa,Valor
2024,Agricultura y desarrollo rural,Apropiación,7882496877194.0
2024,Agricultura y desarrollo rural,Compromiso,7648296092299.34
2024,Agricultura y desarrollo rural,Obligación,3041337365762.84
2024,Agricultura y desarrollo rural,Pago,3019402528905.05
2024,Ambiente y desarrollo sostenible,Apropiación,2043195590413.0
2024,Ambiente y desarrollo sostenible,Compromiso,1989996328983.14
2024,Ambiente y desarrollo sostenible,Obligación,1117953251949.25
2024,Ambiente y desarrollo sostenible,Pago,1104089739846.41
2024,"Ciencia, tecnología e innovación",Apropiación,375665563998.0
2024,"Ciencia, tecnología e innovación",Compromiso,368514947710.48
2024,"Ciencia, tecnología e innovación",Obligación,328486339277.25
2024,"Ciencia, tecnología e innovación",Pago,325936003998.87
2024,"Comercio, industria y turismo",Apropiación,1470119868961.0
2024,"Comercio, industria y turismo",Compromiso,1396339897936.94
2024,"Comercio, industria y turismo",Obligación,1041448806165.77
2024,"Comercio, industria y turismo",Pago,1010735651727.59
2024,Congreso de la república,Apropiación,1371608000000.0
2024,Congreso de la república,Compromiso,1303649018560.52
2024,Congreso de la república,Obligación,1105414808565.27
2024,Congreso de la república,Pago,1105216152430.27
2024,Defensa y policía,Apropiación,55898946923629.0
2024,Defensa y policía,Compromiso,55176933678795.99
2024,Defensa y policía,Obligación,50164579898624.41
2024,Defensa y policía,Pago,49827874740858.516
2024,Deporte y recreación,Apropiación,1058666759556.0
2024,Deporte y recreación,Compromiso,992073765490.1901
2024,Deporte y recreación,Obligación,381372518598.76
2024,Deporte y recreación,Pago,381164518598.76
2024,Educación,Apropiación,70125283359031.0
2024,Educación,Compromiso,70028265096824.04
2024,Educación,Obligación,67589134581920.914
2024,Educación,Pago,67472454161965.42
2024,Empleo público,Apropiación,584086269041.0
2024,Empleo público,Compromiso,512606051403.63
2024,Empleo público,Obligación,495585722675.46
2024,Empleo público,Pago,479470955553.93
2024,Fiscalía,Apropiación,6024475401395.0
2024,Fiscalía,Compromiso,5944049368582.5
2024,Fiscalía,Obligación,5592341999385.75
2024,Fiscalía,Pago,5583041951737.0
2024,Hacienda,Apropiación,32833826152824.0
2024,Hacienda,Compromiso,27912278004901.46
2024,Hacienda,Obligación,22906276291540.0
2024,Hacienda,Pago,22879588349507.05
2024,Igualdad y equidad,Apropiación,12415915576892.0
2024,Igualdad y equidad,Compromiso,12132783269383.57
2024,Igualdad y equidad,Obligación,9980511070638.781
2024,Igualdad y equidad,Pago,9745278907521.93
2024,Inclusión social y reconciliación,Apropiación,13420569244508.0
2024,Inclusión social y reconciliación,Compromiso,12990907225373.62
2024,Inclusión social y reconciliación,Obligación,9671934116882.291
2024,Inclusión social y reconciliación,Pago,9495626728873.07
2024,Información estadística,Apropiación,1294248362117.0
2024,Información estadística,Compromiso,1224666628097.28
2024,Información estadística,Obligación,808089452243.46
2024,Información estadística,Pago,807131880146.5599
2024,Inteligencia,Apropiación,168585191002.0
2024,Inteligencia,Compromiso,163263778494.81
2024,Inteligencia,Obligación,137653013614.38
2024,Inteligencia,Pago,137505765493.73
