Sector,Etapa,Año,Valor
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2000,503.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2001,730.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2002,760.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2003,541.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2004,647.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2005,685.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2006,1029.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2007,1419.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2008,1886.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2009,1640.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2010,1697.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2011,1745.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2012,2257.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2013,3749.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2014,3462.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2015,3822.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2016,2589.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2017,2842.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2018,2432.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2019,2263.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2020,1848.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2021,2397.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2022,2587.0
AGRICULTURA Y DESARROLLO RURAL,Apropiación,2023,5381.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2000,147.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2001,162.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2002,177.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2003,213.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2004,344.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2005,316.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2006,442.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2007,532.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2008,1475.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2009,1721.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2010,1919.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2011,1410.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2012,416.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2013,569.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2014,590.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2015,717.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2016,699.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2017,735.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2018,706.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2019,623.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2020,727.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2021,1171.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2022,1362.0
AMBIENTE Y DESARROLLO SOSTENIBLE,Apropiación,2023,2011.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2000,45.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2001,76.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2002,88.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2003,73.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2004,94.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2005,99.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2006,131.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2007,137.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2008,199.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2009,237.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2010,357.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2011,380.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2012,425.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2013,430.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2014,377.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2015,355.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2016,307.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2017,380.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2018,335.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2019,351.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2020,270.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2021,412.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2022,331.0
"CIENCIA, TECNOLOGÍA E INNOVACIÓN",Apropiación,2023,485.0
