Sector,Etapa,Año,Valor,IPC,Valor_pc
Agricultura y desarrollo rural,Apropiación,2000,503000000000.0,28.968085431148474,1736393663970.4187
Agricultura y desarrollo rural,Apropiación,2001,730000000000.0,31.184040198356737,2340941056247.3164
Agricultura y desarrollo rural,Apropiación,2002,760000000000.0,33.35982660120472,2278189299618.704
Agricultura y desarrollo rural,Apropiación,2003,541000000000.0,35.52891827665934,1522703268890.1453
Agricultura y desarrollo rural,Apropiación,2004,647000000000.0,37.48377867552584,1726079981425.2546
Agricultura y desarrollo rural,Apropiación,2005,685000000000.0,39.2980497991314,1743089042589.438
Agricultura y desarrollo rural,Apropiación,2006,1029000000000.0,41.058763103589925,2506164146747.106
Agricultura y desarrollo rural,Apropiación,2007,1419000000000.0,43.39522296387899,3269945176180.192
Agricultura y desarrollo rural,Apropiación,2008,1886000000000.0,46.72919720578145,4036020545558.7397
Agricultura y desarrollo rural,Apropiación,2009,1640000000000.0,47.666459040854434,3440574426966.2925
Agricultura y desarrollo rural,Apropiación,2010,1697000000000.0,49.17277270436458,3451096829952.349
Agricultura y desarrollo rural,Apropiación,2011,1745000000000.0,51.007128010150275,3421090479065.4946
Agricultura y desarrollo rural,Apropiación,2012,2257000000000.0,52.252347305318665,4319423176937.86
Agricultura y desarrollo rural,Apropiación,2013,3749000000000.0,53.2632511417188,7038624041226.749
Agricultura y desarrollo rural,Apropiación,2014,3462000000000.0,55.21141681319193,6270442237904.693
Agricultura y desarrollo rural,Apropiación,2015,3822000000000.0,58.947074698697094,6483782307325.385
Agricultura y desarrollo rural,Apropiación,2016,2589000000000.0,62.33460675974658,4153391084953.2812
Agricultura y desarrollo rural,Apropiación,2017,2842000000000.0,64.88529789662377,4380036914568.7163
Agricultura y desarrollo rural,Apropiación,2018,2432000000000.0,66.94727393378432,3632709529600.0005
Agricultura y desarrollo rural,Apropiación,2019,2263000000000.0,69.49127034326813,3256524148747.5913
Agricultura y desarrollo rural,Apropiación,2020,1848000000000.0,70.6159845453557,2616971230944.255
Agricultura y desarrollo rural,Apropiación,2021,2397000000000.0,74.58595788962911,3213741658378.9604
Agricultura y desarrollo rural,Apropiación,2022,2587000000000.0,84.37364933874838,3066123156073.9507
Agricultura y desarrollo rural,Apropiación,2023,5381000000000.0,92.19978566160776,5836239164101.075
