Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,Apropiación a precios corrientes,IPC,apropiacion_cons_2025,Apropiación a precios constantes (2025)
2013,Congreso de la república,1,Congreso de la república,101,Funcionamiento,383435000000.0,383435000000.0,53.263251141718804,719886585555.5557,719886585555.5557
2013,Congreso de la república,1,Congreso de la república,101,Inversión,71142317260.0,71142317260.0,53.263251141718804,133567357859.38026,133567357859.38026
2013,Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,153380609752.0,153380609752.0,53.263251141718804,287967043813.9357,287967043813.9357
2013,Presidencia de la república,2,Presidencia de la república,201,Inversión,105666752705.0,105666752705.0,53.263251141718804,198385848479.00095,198385848479.00095
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,23052000000.0,23052000000.0,53.263251141718804,43279370871.794876,43279370871.794876
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversión,50153000000.0,50153000000.0,53.263251141718804,94160605905.48015,94160605905.48015
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,30449000000.0,30449000000.0,53.263251141718804,57166994780.29161,57166994780.29161
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversión,2392812678.0,2392812678.0,53.263251141718804,4492427004.940773,4492427004.940773
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,152256000000.0,152256000000.0,53.263251141718804,285855626039.2157,285855626039.2157
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversión,4290000000.0,4290000000.0,53.263251141718804,8054333725.490197,8054333725.490197
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,80672065183.0,80672065183.0,53.263251141718804,151459145759.52924,151459145759.52924
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Inversión,355962638202.0,355962638202.0,53.263251141718804,668308130975.4857,668308130975.4857
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,8831000000.0,8831000000.0,53.263251141718804,16579911685.268982,16579911685.268982
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Inversión,15500000000.0,15500000000.0,53.263251141718804,29100739567.621925,29100739567.621925
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,61151162000.0,61151162000.0,53.263251141718804,114809292878.67473,114809292878.67473
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversión,24814400000.0,24814400000.0,53.263251141718804,46588218833.98693,46588218833.98693
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Funcionamiento,3342000000.0,3342000000.0,53.263251141718804,6274494944.193063,6274494944.193063
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Inversión,408265000000.0,408265000000.0,53.263251141718804,766504092875.8171,766504092875.8171
2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Funcionamiento,73805588071.0,73805588071.0,53.263251141718804,138567561102.539,138567561102.539
2013,Información estadistíca,4,Departamento administrativo nacional de estadística (dane),401,Inversión,113181260052.0,113181260052.0,53.263251141718804,212494088561.8415,212494088561.8415
2013,Información estadistíca,4,Fondo rotatorio del dane,402,Funcionamiento,1873400000.0,1873400000.0,53.263251141718804,3517246806.8376074,3517246806.8376074
2013,Información estadistíca,4,Fondo rotatorio del dane,402,Inversión,9500000000.0,9500000000.0,53.263251141718804,17835937154.348923,17835937154.348923
2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Funcionamiento,80240000000.0,80240000000.0,53.263251141718804,150647957606.83762,150647957606.83762
2013,Información estadistíca,4,Instituto geográfico agustín codazzi - igac,403,Inversión,145396846425.0,145396846425.0,53.263251141718804,272977791081.7707,272977791081.7707
2013,Empleo público,5,Departamento administrativo de la función pública,501,Funcionamiento,13632550000.0,13632550000.0,53.263251141718804,25594663689.844147,25594663689.844147
2013,Empleo público,5,Departamento administrativo de la función pública,501,Inversión,5773000000.0,5773000000.0,53.263251141718804,10838617388.637508,10838617388.637508
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Funcionamiento,51383000000.0,51383000000.0,53.263251141718804,96469890400.20111,96469890400.20111
2013,Empleo público,5,Escuela superior de administración pública (esap),503,Inversión,86215272000.0,86215272000.0,53.263251141718804,161866334014.4314,161866334014.4314
2013,Departamento administrativo de seguridad (das),6,Departamento administrativo de seguridad (das) en supresión,601,Funcionamiento,74142862180.0,74142862180.0,53.263251141718804,139200782135.37195,139200782135.37195
2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Funcionamiento,20991096000.0,20991096000.0,53.263251141718804,39410091479.67421,39410091479.67421
2013,Departamento administrativo de seguridad (das),6,Fondo rotatorio del departamento administrativo de seguridad,602,Inversión,8536540820.0,8536540820.0,53.263251141718804,16027074271.689917,16027074271.689917
2013,Relaciones exteriores,11,Ministerio de relaciones exteriores,1101,Funcionamiento,234237000000.0,234237000000.0,53.263251141718804,439772253812.9714,439772253812.9714
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Funcionamiento,232440000000.0,232440000000.0,53.263251141718804,436398445490.1961,436398445490.1961
2013,Relaciones exteriores,11,Fondo rotatorio del ministerio de relaciones exteriores,1102,Inversión,48255000000.0,48255000000.0,53.263251141718804,90597173408.74812,90597173408.74812
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Funcionamiento,70433000000.0,70433000000.0,53.263251141718804,132235638062.3429,132235638062.3429
2013,Relaciones exteriores,11,Unidad administrativa especial migración colombia,1104,Inversión,13130000000.0,13130000000.0,53.263251141718804,24651142614.37909,24651142614.37909
