CTA PROG,SUBC SUBP,OBJG PROY,"ORD
SPRY",CONCEPTO,Código de entidad,Código de sector,Tipo de gasto,Código,Entidad,Sector,TOTAL
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,FORTALECIMIENTO A LA FORMULACIÓN E IMPLEMENTACIÓN DE LA POLÍTICA DE VIVIENDA RURAL - NACIONAL,5. CONVERGENCIA REGIONAL / B. POLÍTICA INTEGRAL DE HÁBITAT,5. CONVERGENCIA REGIONAL / B. POLÍTICA INTEGRAL DE HÁBITAT,4001.0,40,INVERSIÓN,4001.1400.8.51303B,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",7100000000.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,"FORTALECIMIENTO DE LOS PROCESOS DE TITULACIÓN, SANEAMIENTO Y FORMALIZACIÓN DE PREDIOS A NIVEL  NACIONAL",1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. ACCESO Y FORMALIZACIÓN DE LA PROPIEDAD,1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. ACCESO Y FORMALIZACIÓN DE LA PROPIEDAD,4001.0,40,INVERSIÓN,4001.1400.9.10306A,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",20000000000.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,IMPLEMENTACIÓN DEL PROGRAMA DE COBERTURA CONDICIONADA PARA CRÉDITOS DE VIVIENDA SEGUNDA GENERACIÓN  NACIONAL,5. CONVERGENCIA REGIONAL / E. DEMOCRATIZACIÓN DEL CRÉDITO PARA ACCEDER A SOLUCIONES HABITACIONALES,5. CONVERGENCIA REGIONAL / E. DEMOCRATIZACIÓN DEL CRÉDITO PARA ACCEDER A SOLUCIONES HABITACIONALES,4002.0,40,INVERSIÓN,4001.1400.4.51103E,Fondo nacional de vivienda - fonvivienda,"Vivienda, ciudad y territorio",906555000000.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SANEAMIENTO Y LEGALIZACIÓN DE LOS BIENES INMUEBLES DE LOS EXTINTOS ICT-INURBE A NIVEL  NACIONAL,1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. ACCESO Y FORMALIZACIÓN DE LA PROPIEDAD,1. ORDENAMIENTO DEL TERRITORIO ALREDEDOR DEL AGUA Y JUSTICIA AMBIENTAL / A. ACCESO Y FORMALIZACIÓN DE LA PROPIEDAD,4001.0,40,INVERSIÓN,4001.1400.6.10306A,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",5000000000.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SUBSIDIO FAMILIAR DE VIVIENDA  NACIONAL,5. CONVERGENCIA REGIONAL / B. POLÍTICA INTEGRAL DE HÁBITAT,5. CONVERGENCIA REGIONAL / B. POLÍTICA INTEGRAL DE HÁBITAT,4001.0,40,INVERSIÓN,4001.1400.5.51303B,"Ministerio de vivienda, ciudad y territorio","Vivienda, ciudad y territorio",17600000000.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SUBSIDIO FAMILIAR DE VIVIENDA  NACIONAL,"5. CONVERGENCIA REGIONAL / D. MECANISMOS DIVERSOS DE ACCESO A LA VIVIENDA (VIVIENDA NUEVA Y USADA, ARRENDAMIENTO SOCIAL Y AUTOGESTIÓN)","5. CONVERGENCIA REGIONAL / D. MECANISMOS DIVERSOS DE ACCESO A LA VIVIENDA (VIVIENDA NUEVA Y USADA, ARRENDAMIENTO SOCIAL Y AUTOGESTIÓN)",4002.0,40,INVERSIÓN,4001.1400.5.51103D,Fondo nacional de vivienda - fonvivienda,"Vivienda, ciudad y territorio",1742382553006.0
ACCESO A SOLUCIONES DE VIVIENDA,INTERSUBSECTORIAL VIVIENDA Y DESARROLLO TERRITORIAL,SUBSIDIO FAMILIAR DE VIVIENDA  NACIONAL,5. CONVERGENCIA REGIONAL / E. DEMOCRATIZACIÓN DEL CRÉDITO PARA ACCEDER A SOLUCIONES HABITACIONALES,5. CONVERGENCIA REGIONAL / E. DEMOCRATIZACIÓN DEL CRÉDITO PARA ACCEDER A SOLUCIONES HABITACIONALES,4002.0,40,INVERSIÓN,4001.1400.5.51103E,Fondo nacional de vivienda - fonvivienda,"Vivienda, ciudad y territorio",10699036381.0
ACCESO AL SERVICIO PÚBLICO DOMICILIARIO DE GAS COMBUSTIBLE,INTERSUBSECTORIAL MINAS Y ENERGÍA,"APOYO A LA FINANCIACIÓN DE PROYECTOS DIRIGIDOS AL DESARROLLO DE INFRAESTRUCTURA, Y CONEXIONES PARA EL USO DEL GAS NATURAL A NIVEL  NACIONAL","4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS","4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS",2101.0,21,INVERSIÓN,2101.1900.9.40301C,Ministerio de minas y energía,Minas y energía,62178000000.0
ACCESO AL SERVICIO PÚBLICO DOMICILIARIO DE GAS COMBUSTIBLE,INTERSUBSECTORIAL MINAS Y ENERGÍA,DISTRIBUCIÓN DE RECURSOS A USUARIOS DE GAS COMBUSTIBLE POR RED DE ESTRATOS 1 Y 2.  NACIONAL,"4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS","4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS",2101.0,21,INVERSIÓN,2101.1900.8.40301C,Ministerio de minas y energía,Minas y energía,947859420584.0
ACCESO AL SERVICIO PÚBLICO DOMICILIARIO DE GAS COMBUSTIBLE,INTERSUBSECTORIAL MINAS Y ENERGÍA,SUSTITUCION DE LENA POR CILINDROS DE GLP EN HOGARES DE BAJOS RECURSOS  NACIONAL,"4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS","4. TRANSFORMACIÓN PRODUCTIVA, INTERNACIONALIZACIÓN Y ACCIÓN CLÍMATICA / C. CIERRE DE BRECHAS ENERGÉTICAS",2101.0,21,INVERSIÓN,2101.1900.11.40301C,Ministerio de minas y energía,Minas y energía,16530421597.0
