Actividad,C1,C2,Impuesto,Año,Valor,IPC,Valor_pc,Rubro,Rubro2
ACTIVIDAD INTERNA,Renta y complementarios,Renta cuotas,Renta cuotas,1970,5419.0,0.0803367287205411,6745358.052666674,Renta,Renta
ACTIVIDAD INTERNA,IVA,IVA interno,Declaraciones IVA,1970,1000.0,0.0803367287205411,1244760.6666666681,IVA,IVA
ACTIVIDAD EXTERNA,Arancel,Arancel,Arancel,1970,3681.0,0.0803367287205411,4581964.014000005,Otros impuestos,Arancel
ACTIVIDAD INTERNA,IVA,IVA interno,Retención en la fuente a título de IVA,1970,0.0,0.0803367287205411,0.0,IVA,IVA
ACTIVIDAD INTERNA,Timbre nacional,Timbre nacional,Timbre nacional,1970,599.0,0.0803367287205411,745611.6393333342,Otros impuestos,Timbre nacional
ACTIVIDAD EXTERNA,IVA,IVA externo,IVA externo,1970,74.0,0.0803367287205411,92112.28933333344,IVA,IVA
ACTIVIDAD INTERNA,G.M.F.,G.M.F.,G.M.F.,1970,0.0,0.0803367287205411,0.0,Otros impuestos,G.M.F.
ACTIVIDAD INTERNA,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,Impuestos saludables - Comestibles ultraprocesados,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuestos saludables - Comestibles ultraprocesados
ACTIVIDAD INTERNA,Patrimonio,Patrimonio,Patrimonio,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Patrimonio
ACTIVIDAD EXTERNA,Por clasificar,Por clasificar,Por clasificar,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Por clasificar
ACTIVIDAD INTERNA,Riqueza,Riqueza,Riqueza,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Riqueza
ACTIVIDAD INTERNA,Impuesto al consumo,Impuesto al consumo,Impuesto al consumo,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuesto al consumo
ACTIVIDAD INTERNA,Productos plásticos de un solo uso,Productos plásticos de un solo uso,Productos plásticos de un solo uso,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Productos plásticos de un solo uso
ACTIVIDAD INTERNA,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,Impuesto gasolina y ACPM,1970,0.0,0.0803367287205411,0.0,Otros impuestos,Impuesto gasolina y ACPM
