Año,Sector,Código de sector,Entidad,Código de entidad,Tipo de gasto,apropiacion_corrientes,apropiacion_cons_2024,Apropiación a precios corrientes en millones,Apropiación a precios constantes (2024) en millones
2013,Congreso de la república,1,Congreso de la república,101,Funcionamiento,383435000000,676574864830.2369,383435.0,676574.86
2013,Congreso de la república,1,Congreso de la república,101,Inversion,71142317260,125531325215.2107,71142.32,125531.33
2013,Presidencia de la república,2,Presidencia de la república,201,Funcionamiento,153380609752,270641608905.1305,153380.61,270641.61
2013,Presidencia de la república,2,Presidencia de la república,201,Inversion,105666752705,186450034369.4119,105666.75,186450.03
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Funcionamiento,23052000000,40675482895.57975,23052.0,40675.48
2013,Presidencia de la república,2,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",209,Inversion,50153000000,88495466495.836,50153.0,88495.47
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Funcionamiento,30449000000,53727562844.33055,30449.0,53727.56
2013,Presidencia de la república,2,Unidad nacional para la gestión del riesgo de desastres,211,Inversion,2392812678,4222141729.841896,2392.81,4222.14
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Funcionamiento,152256000000,268657223830.8776,152256.0,268657.22
2013,Presidencia de la república,2,Agencia para la reincorporación y la normalización - arn,212,Inversion,4290000000,7569747597.693785,4290.0,7569.75
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Funcionamiento,80672065183,142346660051.2845,80672.07,142346.66
2013,Planeación,3,Departamento administrativo nacional de planeación,301,Inversion,355962638202,628099609649.9607,355962.64,628099.61
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Funcionamiento,8831000000,15582387187.70019,8831.0,15582.39
2013,Planeación,3,Unidad administrativa especial - agencia nacional de contratación pública - colombia compra eficiente,303,Inversion,15500000000,27349903907.75144,15500.0,27349.9
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Funcionamiento,61151162000,107901832551.4414,61151.16,107901.83
2013,Planeación,3,Superintendencia de servicios públicos domiciliarios,324,Inversion,24814400000,43785255195.38757,24814.4,43785.26
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Funcionamiento,3342000000,5896992184.497116,3342.0,5896.99
2013,Planeación,3,Fondo nacional de regalías en liquidación,325,Inversion,408265000000,720387646380.5253,408265.0,720387.65
