Ingreso,Ingreso específico,Valor,Código de entidad,Código de sector,Sector,Entidad,Año,index_24,Valor_24
INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,101693146636000.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,179438567004611.38
INGRESOS DEL PRESUPUESTO NACIONAL,INGRESOS CORRIENTES DE LA NACIÓN,518854000000.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,915523034977.5784
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,5000000000000.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,8822549647661.754
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,13321969220537.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,23506746970561.887
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,531858480719.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,938469570334.6659
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,5400000000000.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,9528353619474.695
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,28008000000000.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,49420394106342.086
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,7872874645367.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,13891765485713.557
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,317488885335.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,560212290689.7655
INGRESOS DEL PRESUPUESTO NACIONAL,RECURSOS DE CAPITAL DE LA NACIÓN,172714187030.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,304755897985.54254
INGRESOS DEL PRESUPUESTO NACIONAL,RENTAS PARAFISCALES,1211443724583.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,2137604481096.358
INGRESOS DEL PRESUPUESTO NACIONAL,FONDOS ESPECIALES,7131567759851.0,Nación,Nación,Nación,Nación,2013,56.6729596282312,12583722125389.873
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,30000000000.0,209.0,2.0,Presidencia de la república,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2013,56.6729596282312,52935297885.97053
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,15500000000.0,303.0,3.0,Planeación,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,2013,56.6729596282312,27349903907.75144
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",84100000000.0,324.0,3.0,Planeación,Superintendencia de servicios públicos domiciliarios,2013,56.6729596282312,148395285073.67072
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,1865562000.0,324.0,3.0,Planeación,Superintendencia de servicios públicos domiciliarios,2013,56.6729596282312,3291802673.1582313
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,10661500000.0,402.0,4.0,Información estadística,Fondo rotatorio del dane,2013,56.6729596282312,18812322613.70916
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,690900000.0,402.0,4.0,Información estadística,Fondo rotatorio del dane,2013,56.6729596282312,1219099910.3139012
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,46812000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2013,56.6729596282312,82600238821.2684
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,109000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2013,56.6729596282312,192331582.31902623
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,477000000.0,403.0,4.0,Información estadística,Instituto geográfico agustín codazzi - igac,2013,56.6729596282312,841671236.3869313
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,16500000000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2013,56.6729596282312,29114413837.28379
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,35300000000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2013,56.6729596282312,62287200512.49198
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES PARAFISCALES,85798272000.0,503.0,5.0,Empleo público,Escuela superior de administración pública (esap),2013,56.6729596282312,151391902880.71747
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,25362461000.0,602.0,6.0,Nación,Nación,2013,56.6729596282312,44752314271.877
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,181432000000.0,1102.0,11.0,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2013,56.6729596282312,320138565534.91345
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,29572000000.0,1102.0,11.0,Relaciones exteriores,Fondo rotatorio del ministerio de relaciones exteriores,2013,56.6729596282312,52180087636.13068
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",11294000000.0,1104.0,11.0,Relaciones exteriores,Unidad administrativa especial migración colombia,2013,56.6729596282312,19928375144.13837
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,511000000000.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2013,56.6729596282312,901664573991.0312
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,3193895798.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2013,56.6729596282312,5635660849.462651
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,2587288945.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2013,56.6729596282312,4565297034.02178
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES,62977533012.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2013,56.6729596282312,111124482337.12541
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,150268000000.0,1204.0,12.0,Justicia y del derecho,Superintendencia de notariado y registro,2013,56.6729596282312,265149378090.9673
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,21000000.0,1208.0,12.0,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013,56.6729596282312,37054708.52017937
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,FONDOS ESPECIALES,114201944056.0,1208.0,12.0,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013,56.6729596282312,201510464258.71002
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,425000000.0,1208.0,12.0,Justicia y del derecho,Instituto nacional penitenciario y carcelario - inpec,2013,56.6729596282312,749916720.0512491
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,291300057800.0,1209.0,12.0,Justicia y del derecho,Nación,2013,56.6729596282312,514001844461.44775
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,354000000.0,1309.0,13.0,Hacienda,Superintendencia de la economía solidaria,2013,56.6729596282312,624636515.0544522
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",7799640406.0,1309.0,13.0,Hacienda,Superintendencia de la economía solidaria,2013,56.6729596282312,13762542943.168736
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3891000000.0,1309.0,13.0,Hacienda,Superintendencia de la economía solidaria,2013,56.6729596282312,6865708135.810377
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,15489400000.0,1310.0,13.0,Hacienda,Unidad administrativa especial dirección de impuestos y aduanas nacionales,2013,56.6729596282312,27331200102.498394
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,11035700000.0,1310.0,13.0,Hacienda,Unidad administrativa especial dirección de impuestos y aduanas nacionales,2013,56.6729596282312,19472602229.340164
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,500000000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2013,56.6729596282312,882254964.7661754
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,"TASAS, MULTAS Y CONTRIBUCIONES",176371359000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2013,56.6729596282312,311209014240.6149
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,300000000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2013,56.6729596282312,529352978.85970527
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3500000000.0,1313.0,13.0,Hacienda,Superintendencia financiera de colombia,2013,56.6729596282312,6175784753.363228
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,129853135894.0,1503.0,15.0,Defensa y policía,Caja de retiro de las fuerzas militares,2013,56.6729596282312,229127147665.8767
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,19246345000.0,1503.0,15.0,Defensa y policía,Caja de retiro de las fuerzas militares,2013,56.6729596282312,33960366859.705315
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,61087854556.0,1503.0,15.0,Defensa y policía,Caja de retiro de las fuerzas militares,2013,56.6729596282312,107790125937.89006
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,9449000000.0,1507.0,15.0,Defensa y policía,Instituto casas fiscales del ejército,2013,56.6729596282312,16672854324.151182
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,9393248000.0,1507.0,15.0,Defensa y policía,Instituto casas fiscales del ejército,2013,56.6729596282312,16574479366.559895
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE OTRAS ENTIDADES,4821437000.0,1507.0,15.0,Defensa y policía,Instituto casas fiscales del ejército,2013,56.6729596282312,8507473461.114669
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,9473700000.0,1507.0,15.0,Defensa y policía,Instituto casas fiscales del ejército,2013,56.6729596282312,16716437719.410631
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,3982000000.0,1507.0,15.0,Defensa y policía,Instituto casas fiscales del ejército,2013,56.6729596282312,7026278539.397821
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,2779000000.0,1508.0,15.0,Defensa y policía,"Defensa civil colombiana, guillermo león valencia",2013,56.6729596282312,4903573094.170403
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,1162200000.0,1508.0,15.0,Defensa y policía,"Defensa civil colombiana, guillermo león valencia",2013,56.6729596282312,2050713440.102498
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,18807713072.0,1510.0,15.0,Defensa y policía,Club militar de oficiales,2013,56.6729596282312,33186396467.339394
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,17938940000.0,1510.0,15.0,Defensa y policía,Club militar de oficiales,2013,56.6729596282312,31653437755.28507
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,APORTES DE AFILIADOS,141605493554.0,1511.0,15.0,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013,56.6729596282312,249864299452.3623
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,19790606446.0,1511.0,15.0,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013,56.6729596282312,34920721585.433945
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,73050900000.0,1511.0,15.0,Defensa y policía,Caja de sueldos de retiro de la policía nacional,2013,56.6729596282312,128899038411.27481
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,VENTA DE BIENES Y SERVICIOS,136583000000.0,1512.0,15.0,Defensa y policía,Fondo rotatorio de la policía,2013,56.6729596282312,241002059705.31708
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OPERACIONES COMERCIALES,165439000000.0,1512.0,15.0,Defensa y policía,Fondo rotatorio de la policía,2013,56.6729596282312,291918758231.9026
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,OTROS INGRESOS,846000000.0,1512.0,15.0,Defensa y policía,Fondo rotatorio de la policía,2013,56.6729596282312,1492775400.384369
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,RECURSOS DE CAPITAL,18419000000.0,1512.0,15.0,Defensa y policía,Fondo rotatorio de la policía,2013,56.6729596282312,32500508392.05637
INGRESOS DE LOS ESTABLECIMIENTOS PÚBLICOS,CONTRIBUCIONES,10650100000.0,1516.0,15.0,Defensa y policía,Superintendencia de vigilancia y seguridad privada,2013,56.6729596282312,18792207200.51249
