TOTAL,Código de entidad,Tipo de gasto,Código de sector,Sector,Entidad,Año
1112522000000,101,Funcionamiento,1,Congreso de la república,Congreso de la república,2025
1106000000,101,Deuda,1,Congreso de la república,Congreso de la república,2025
200000000000,101,Inversión,1,Congreso de la república,Congreso de la república,2025
452841786933,201,Funcionamiento,2,Presidencia de la república,Presidencia de la república,2025
168668164194,201,Inversión,2,Presidencia de la república,Presidencia de la república,2025
48822000000,209,Funcionamiento,2,Presidencia de la república,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2025
72545160000,209,Inversión,2,Presidencia de la república,"Agencia presidencial de cooperación internacional de colombia, apc - colombia",2025
707832000000,211,Funcionamiento,2,Presidencia de la república,Unidad nacional para la gestión del riesgo de desastres,2025
17000000000,211,Inversión,2,Presidencia de la república,Unidad nacional para la gestión del riesgo de desastres,2025
353859084174,212,Funcionamiento,2,Presidencia de la república,Agencia para la reincorporación y la normalización - arn,2025
2200000000,212,Inversión,2,Presidencia de la república,Agencia para la reincorporación y la normalización - arn,2025
11856000000,213,Funcionamiento,2,Presidencia de la república,Agencia nacional inmobiliaria virgilio barco vargas,2025
24000000000,213,Inversión,2,Presidencia de la república,Agencia nacional inmobiliaria virgilio barco vargas,2025
74833000000,214,Funcionamiento,2,Presidencia de la república,Agencia de renovación del territorio – art,2025
65000000000,214,Inversión,2,Presidencia de la república,Agencia de renovación del territorio – art,2025
121110968620,301,Funcionamiento,3,Planeación,Departamento administrativo nacional de planeación,2025
643371314128,301,Inversión,3,Planeación,Departamento administrativo nacional de planeación,2025
25808823411,303,Funcionamiento,3,Planeación,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,2025
94683000000,303,Inversión,3,Planeación,Unidad administrativa especial  - agencia nacional de contratación pública - colombia compra eficiente,2025
354424083800,324,Funcionamiento,3,Planeación,Superintendencia de servicios públicos domiciliarios,2025
73143450309,324,Inversión,3,Planeación,Superintendencia de servicios públicos domiciliarios,2025
153718925120,401,Funcionamiento,4,Información estadística,Departamento administrativo nacional de estadística (dane),2025
194597506983,401,Inversión,4,Información estadística,Departamento administrativo nacional de estadística (dane),2025
2744000000,402,Funcionamiento,4,Información estadística,Fondo rotatorio del dane,2025
