Tipo de impuesto,Clasificación,Subclasificación,Mes,Valor,Mes_num,clas_alt
Interno,Renta,Renta - Cuotas,Enero,120796.021707,1,Renta
Interno,Renta,Renta - Cuotas,Febrero,3310458.391089,2,Renta
Interno,Renta,Renta - Cuotas,Marzo,170159.122844,3,Renta
Interno,Renta,Renta - Cuotas,Abril,4726511.559675001,4,Renta
Interno,Renta,Renta - Cuotas,Mayo,6302898.509433,5,Renta
Interno,Renta,Renta - Cuotas,Junio,5632638.452654,6,Renta
Interno,Renta,Renta - Cuotas,Julio,3742887.148364,7,Renta
Interno,Renta,Renta - Cuotas,Agosto,1756762.838044,8,Renta
Interno,Renta,Retención Renta,Enero,11573001.05088779,1,Renta
Interno,Renta,Retención Renta,Febrero,6434917.87472827,2,Renta
Interno,Renta,Retención Renta,Marzo,7452804.960400162,3,Renta
Interno,Renta,Retención Renta,Abril,7582229.627898184,4,Renta
Interno,Renta,Retención Renta,Mayo,7756743.989612525,5,Renta
Interno,Renta,Retención Renta,Junio,7235524.252660058,6,Renta
Interno,Renta,Retención Renta,Julio,7902065.69925462,7,Renta
Interno,Renta,Retención Renta,Agosto,7757274.010543552,8,Renta
Interno,IVA Interno,Declaraciones IVA,Enero,11366234.234614,1,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Febrero,606147.51347,2,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Marzo,7231737.697341001,3,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Abril,557034.5575110001,4,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Mayo,8863703.349892,5,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Junio,558993.26302,6,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Julio,7631958.598825,7,IVA Interno
Interno,IVA Interno,Declaraciones IVA,Agosto,486461.307139,8,IVA Interno
Interno,IVA Interno,Retención IVA,Enero,1837967.513542268,1,IVA Interno
Interno,IVA Interno,Retención IVA,Febrero,692248.5460351459,2,IVA Interno
Interno,IVA Interno,Retención IVA,Marzo,844524.4592857275,3,IVA Interno
Interno,IVA Interno,Retención IVA,Abril,933995.979950188,4,IVA Interno
Interno,IVA Interno,Retención IVA,Mayo,902520.9620496002,5,IVA Interno
Interno,IVA Interno,Retención IVA,Junio,877106.4055918874,6,IVA Interno
Interno,IVA Interno,Retención IVA,Julio,946881.3195829132,7,IVA Interno
Interno,IVA Interno,Retención IVA,Agosto,1007367.946188735,8,IVA Interno
Interno,G.M.F.,G.M.F.,Enero,1309280.049,1,Otros
Interno,G.M.F.,G.M.F.,Febrero,1095924.443,2,Otros
Interno,G.M.F.,G.M.F.,Marzo,1127481.305,3,Otros
Interno,G.M.F.,G.M.F.,Abril,1285281.262,4,Otros
Interno,G.M.F.,G.M.F.,Mayo,1096439.217,5,Otros
Interno,G.M.F.,G.M.F.,Junio,1087294.316,6,Otros
Interno,G.M.F.,G.M.F.,Julio,1394111.994,7,Otros
Interno,G.M.F.,G.M.F.,Agosto,1047039.517551,8,Otros
Interno,Timbre,Timbre,Enero,33501.16674194393,1,Otros
Interno,Timbre,Timbre,Febrero,14139.60991258336,2,Otros
Interno,Timbre,Timbre,Marzo,16971.04533610973,3,Otros
Interno,Timbre,Timbre,Abril,19356.72355462825,4,Otros
Interno,Timbre,Timbre,Mayo,21148.53339487275,5,Otros
Interno,Timbre,Timbre,Junio,19104.97311805544,6,Otros
Interno,Timbre,Timbre,Julio,21111.04680246675,7,Otros
Interno,Timbre,Timbre,Agosto,18782.97134571273,8,Otros
Interno,Patrimonio,Patrimonio,Enero,4610.894695,1,Otros
Interno,Patrimonio,Patrimonio,Febrero,10524.686321,2,Otros
Interno,Patrimonio,Patrimonio,Marzo,9702.759619,3,Otros
Interno,Patrimonio,Patrimonio,Abril,12831.363286,4,Otros
Interno,Patrimonio,Patrimonio,Mayo,606103.901543,5,Otros
Interno,Patrimonio,Patrimonio,Junio,16717.681242,6,Otros
Interno,Patrimonio,Patrimonio,Julio,16802.730113,7,Otros
Interno,Patrimonio,Patrimonio,Agosto,38026.272831,8,Otros
Interno,Riqueza ,Riqueza ,Enero,376.574038,1,Otros
Interno,Riqueza ,Riqueza ,Febrero,513.545032,2,Otros
Interno,Riqueza ,Riqueza ,Marzo,491.665147,3,Otros
Interno,Riqueza ,Riqueza ,Abril,470.751922,4,Otros
Interno,Riqueza ,Riqueza ,Mayo,625.409575,5,Otros
Interno,Riqueza ,Riqueza ,Junio,247.350649,6,Otros
Interno,Riqueza ,Riqueza ,Julio,215.907282,7,Otros
Interno,Riqueza ,Riqueza ,Agosto,84.639469,8,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Enero,642153.967044,1,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Febrero,30031.489413,2,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Marzo,490931.511061,3,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Abril,33631.760369,4,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Mayo,487124.125576,5,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Junio,33378.661767,6,Otros
Interno,Impuesto al Consumo,Impuesto al Consumo,Julio,545640.89979,7,Otros
